class,f1,f2,f3,f4,f5,f6
0.0,0.03174266481315766,0.3370588298492089,0.05982415353981598,0.31806815977562497,0.8845826287372162,0.18632780790301626
0.0,0.019580271406896617,0.7076570346494361,0.08558787118235678,0.1686633593481836,0.7839833019402818,0.2377111492255149
0.0,0.02477867980071824,0.5437683725560051,0.005788748781903216,0.04792542733900282,0.721109887987573,0.14551089885151539
0.0,0.3150808398906885,0.3965418149226606,0.030730619146748822,0.2157385995189569,0.9162145879922274,0.022590462246655587
0.0,0.28672000489167393,0.6544736689110018,0.05321396609083014,0.1442701473069005,0.7668865608230095,0.095759235082983
0.0,0.2423714112253162,0.03426063854582928,0.08292252204796507,0.3845631654407591,0.8593800539584066,0.01696013799555114
0.0,0.339076250749402,0.6286035395304057,0.04963854467891136,0.10205720220732648,0.7610834464513059,0.12805158904848893
0.0,0.06288768082806802,0.4828597846976502,0.05681975765441578,0.3201459407744542,0.8016733075431854,0.0030778825740754934
0.0,0.004897143420019497,0.49897664776790696,0.05813736255918286,0.05820830262259458,0.8984263870663403,0.07907044377228745
0.0,0.08573730635383871,0.022872551335774594,0.0685406965608491,0.25297880238380466,0.8804261472932898,0.12995637573474755
0.0,0.0034984390172079207,0.18316681179448707,0.05986981125429603,0.4918171343720146,0.8056323322259904,0.05654437588093756
0.0,0.0008350665445801705,0.2780857973293237,0.06893403804653714,0.20219596888616492,0.7556243435908778,0.8181490060431551
0.0,0.0014749162304231156,0.8978346592899926,0.0604356936015177,0.21619776649366376,0.8692969116072267,1.0
0.0,0.09834827810738683,0.385848247646035,0.06683866388224738,0.38282516241775094,0.8199993873533507,0.28760070651213016
0.0,0.046379255032404025,0.3509196720007469,0.1767050066560094,0.14778577109528435,0.7555307494454095,0.17119696657095831
0.0,0.012516740362233906,0.5441945492344559,0.02145641613418727,0.3005733746472913,0.8342357392296652,0.07246666582844336
0.0,0.0,0.838906105981118,0.06313688185347285,0.33786801224421115,0.7124204947996147,0.06795514271333775
0.0,0.4265807590069552,0.6392630877928533,0.05668273418405916,0.09667076902674117,0.775767454141746,0.20029602246939512
0.0,0.46219958278806356,1.0,0.05785353842549908,0.40443031554157094,0.9578704177133043,0.015395014098576958
0.0,0.005451619207715209,0.5691865062014079,0.04991326395639207,0.203048488937469,0.9001129345821043,0.05635271848748537
0.0,0.004816135100672813,0.08256844952259601,0.05453204951325669,0.07498098985988266,0.6578141380528407,0.1868847613727631
0.0,0.06660064258826487,0.2893065262186173,0.07651329186947159,0.15038089248836922,0.7055079354447804,0.24393083055050832
0.0,0.004672230888994718,0.8026686111777837,0.041345714649793135,0.5839273083507696,0.7366665198926019,0.2832328225498831
0.0,0.03738711181618925,0.43651067347875167,0.03994887827731552,0.5484271561132269,0.874574166776758,0.00800504146777513
0.0,0.16808119069058902,0.32990401775084166,0.05964447950770751,0.1434367176161323,0.723336395442397,0.1609546249554647
0.0,0.01399730262775096,0.14794893079105936,0.04958575569892124,0.31005963234135775,0.845951292985622,0.6900640737501741
0.0,0.012011497483535683,0.6874730065436222,0.03857664434164688,0.12946101264068804,0.7657056205925247,0.14204083141632975
0.0,0.008950945616853855,0.3479006406253033,0.0,0.1637663240031508,0.7376879204090063,0.0021277550919951713
0.0,0.034885845834056024,0.47244499803812495,0.05738050185996823,0.807344508410074,0.8526104589088322,0.017427519474520283
0.0,0.08766502886638158,0.6320423890250191,0.05975343102039691,0.2872645285776066,0.7265771684949814,0.9561475014603966
0.0,0.0116266743259567,0.4807379059428492,0.0683464878668969,0.27633001209552677,0.9469489849382353,0.022350454838280454
0.0,0.012544134747768478,0.2563823654709667,0.06652279321232066,0.0935949949157406,0.8274119834340358,0.12276381295339747
0.0,0.02682585420214701,0.624181391320081,0.05488120100052266,0.26626934993524,0.7097760962925135,0.27032381343163103
0.0,0.05397405649368605,0.5007211459500492,0.07920281065728399,0.4159569534120392,0.7829607613515759,0.05440762681206928
0.0,0.0008339782879578561,0.664805310170241,0.09502100837784846,0.2628694557386396,0.6590902983216043,0.19242692799491554
0.0,0.00225076921940024,0.5298117775603512,0.05633512048889248,0.14432090115961507,0.8821313751828421,0.08116438025649601
0.0,0.12868743718936276,0.42194041672060667,0.052030064395000346,0.017951676645434397,0.9337661954557264,0.35600415729825535
0.0,0.02523686853435786,0.3921014304789152,0.034495030834355137,0.3690842632805575,0.7829448975935259,0.611960733264414
0.0,0.12462876585257247,0.8213065098042109,0.05179726434835285,0.18573707522355068,0.6796019090087976,0.026768946099720536
0.0,0.04619986713762892,0.48162244519520964,0.04881641884099817,0.7554971959127673,0.8703004784758238,0.24886263600260652
0.0,0.00790456746620644,0.0,0.0590257034666379,0.15582500930908927,0.8318197574808298,0.31620423725544144
0.0,0.4867609632950467,0.47891754000536346,0.022106196103799595,0.0,0.7914592669347578,0.11630767605627307
0.0,0.24714613177503114,0.7979819078104846,0.011830973304629143,0.4633555374064606,1.0,0.03260320831928851
0.0,0.0013295654282754331,0.4330268441982225,0.05493263868430912,0.27617438835403324,0.8171807901064682,0.14245334212067756
0.0,0.06841731952340604,0.6661170150711134,0.05547769126828724,0.05274113268084353,0.869144480598823,0.40672985270072853
0.0,0.0014677404212273455,0.8578400750924213,0.06089707812133476,0.25592341734664964,0.8759029645213117,0.2781437157771489
0.0,0.7405557327996201,0.6911770593069136,0.06555052568522313,0.12998127902295817,0.7371910851082417,0.03558582003326609
0.0,0.028775326207228148,0.42723620944190255,0.0239647469994718,0.345682364771178,0.81305611404268,0.006093999331561813
0.0,0.3820356206296255,0.3677917470931891,0.057985334626076544,0.07526843499060618,0.6250675592359058,0.07876353842615645
0.0,1.0000000000000002,0.671891627732019,0.054026899209877084,0.29598095520020484,0.9147670090829316,0.043523514451598765
1.0,0.008146264486389887,0.7857935429644688,0.7969188453311417,0.5298005927384624,0.18007247208408295,0.0033306537368529
1.0,0.02292065789000806,0.5336248057283303,0.8157319528311643,0.7847078043645032,0.49426324650523457,0.03339835032821352
1.0,0.000822817668322392,0.4988911967364161,0.8317240431987617,0.5194774294926287,0.22588068682142737,0.01614267736668346
1.0,0.019653924147386856,0.630850887845394,0.8052834098212125,0.5939058729607435,0.34165610621556924,0.05356370328063806
1.0,0.037721665272872476,0.8017523522720189,0.8295674369440634,0.30976117632191247,0.2656332256897426,0.38277251275468815
1.0,0.017442655880664626,0.7141733124157313,0.8035849916437797,0.2244611090276135,0.573113243759325,0.08428866602311971
1.0,0.3918487310715559,0.29170879667789396,0.8029058803637036,0.8806875686373793,0.21829579638945934,0.04891851504518714
1.0,0.028494289287214328,0.14608095898425616,0.8021597136700138,0.447255881748539,0.40341146733972405,0.10000637561431377
1.0,0.03298250852391859,0.18399770892997241,0.7982784166902992,0.8826551878478016,0.24511096409905483,0.09307553211822288
1.0,0.006254379263710436,0.33816920330578126,0.7742344159336053,0.9999999999999999,0.16494479375832966,0.03709839746664452
1.0,0.010076057854354385,0.4754271613556203,0.8070249507831834,0.45100303365598604,0.0029318601910248154,0.09293379070195726
1.0,0.03971054780097453,0.40642565653839796,0.8103300866020298,0.4180110266412249,0.34540920003083775,0.02887637868272143
1.0,0.008407463016684163,0.5607798665876599,0.8070434099854342,0.24115290093472502,0.14871565281811952,0.12381085934772305
1.0,0.03613424260372338,0.1738709078129404,0.8495815574787723,0.331254726076358,0.2237315453044249,0.0115980996182776
1.0,0.1602189963726072,0.4622771712752448,0.7598890436092894,0.3819330730254606,0.20211741410998801,0.0476063567502059
1.0,0.0468602286175063,0.3864573629683948,0.8066785863550802,0.6454118940959843,0.3162148797877971,0.1225600814957917
1.0,0.1866145081642211,0.6593658161043829,0.8096656369823043,0.4701356386505318,0.4014884814845871,0.16506339979534965
1.0,0.010608487556815897,0.5171140122927927,0.7994475928755964,0.951652910227115,0.483315093906712,0.024064441750610212
1.0,0.02785929164823812,0.48942905749908683,0.807413377060728,0.14873118726091034,0.3469540118791949,0.043788169791460524
1.0,0.15225013554689093,0.6830316764365204,0.8134177979554343,0.3894988266026313,0.3918430877491076,0.2676456956973249
1.0,0.00767586902573673,0.33173305037968026,0.7354688804863658,0.7502495943133802,0.12110190163366805,0.0002582284432178167
1.0,0.10719492764360758,0.5153019637581913,0.7865129887780314,0.4853983964031936,0.3154067100235222,0.13843907585317
1.0,0.1212610577308223,0.1515469325233489,0.8061115937226718,0.4794024973772902,0.1677709217322086,0.06870453088914236
1.0,0.024459990756136214,0.5425464092019397,0.7954951815982068,0.3024897524307557,0.12440949888009939,0.05829846519618303
1.0,0.08502542028529496,0.8952537667273753,0.8102245684489964,0.44019375308342784,0.3098026299335044,0.05670799639026071
1.0,0.11692005967711808,0.6493889450901464,0.806220647382081,0.602061061614247,0.23775543392882922,0.0321709348687475
1.0,0.004563905156881948,0.5493325075919858,0.8063069958826627,0.4187598211817737,0.31528981592638117,0.008831766582848725
1.0,0.14183301574889923,0.46859199138927915,0.8104987960266743,0.11528166474593446,0.5122521808374965,0.03785539427167321
1.0,0.002880124184580496,0.4034326876688964,0.826090629042672,0.3987621820895121,0.2790514411895546,0.008929469064505133
1.0,0.016977679419082764,0.6301325567138869,0.7775598611857937,0.3060291672856146,0.4377350218529342,0.017829654796489305
1.0,0.005317502627319205,0.6980764042438948,0.8054191710954323,0.9202854819173245,0.2779145084807273,0.06424121533841902
1.0,0.0529914622485118,0.6744107028242767,0.7974121030180275,0.7657481268328762,0.38848000435464686,0.010436154037338633
1.0,0.1861913336926589,0.6701934517169597,0.7947619215769641,0.47415741839393133,0.20348073193132069,0.0055690451756984834
1.0,0.08893766952848135,0.7113964492645857,0.8500912544080983,0.514880339995058,0.26193470047349887,0.02356163782752311
1.0,0.003728360964275836,0.7104537253914505,0.8119601495048665,0.8087069216335913,0.3889047219843727,0.14588916765727766
1.0,0.17929606916054056,0.44130146550411964,0.7685178628221455,0.6322925011833118,0.2640261161957218,0.00504214472486916
1.0,0.04100474954493494,0.3239506520984061,0.8540944965496995,0.5012913033114291,0.39591965987385636,0.2979097558424378
1.0,0.8028680613529561,0.6737676433156756,0.7925012354705218,0.49565547986519165,0.38912385991436305,0.06063750178289637
1.0,0.11233440212243134,0.6654618370649572,0.8062100319612913,0.3856787846234111,0.14211692568147466,0.03561713467895388
1.0,0.016852333535192183,0.6503217494863455,1.0,0.5683424940544387,0.14258912436878973,0.007217247548953291
1.0,0.23790811002392792,0.3400809584199064,0.807750224332567,0.5521221730664195,0.08907464006065482,0.0
1.0,0.1548169375644866,0.41938607670520717,0.888943563366883,0.47690178295041363,0.2523525176427477,0.04575795029248469
1.0,0.015191487339161177,0.842326304547764,0.8121769586207495,0.5471306420370697,0.24761746831112977,0.16824417985759568
1.0,0.18754594307788952,0.47814749028401554,0.8091217200230404,0.3156708591806819,0.0,0.04887783987717096
1.0,0.08559739235789045,0.16955811613335459,0.8713789638012982,0.42981791891704885,0.06560843841557351,0.03845569621043724
1.0,0.06007603686765502,0.25416923772765365,0.8058696497674921,0.3625148438680472,0.49193763178376737,0.08303479239932694
1.0,0.018939082592166756,0.30337495399137276,0.8048554045580887,0.5969972052801483,0.2971034401917577,0.025536735667410056
1.0,0.006242870842086181,0.3427887407042943,0.8305732656184861,0.49195839279251274,0.5514358283619827,0.022660368745836695
1.0,0.15538622229919294,0.6684025225064398,0.8048452756465709,0.37240078222507766,0.2952996128819084,0.07458995237933136
1.0,0.0485015869728371,0.5656496178884937,0.8153767433228941,0.4061387045308863,0.4590779715164481,0.08962852546757313
